estabelecimento_id,municipio_id,data_criacao,nota_avaliacao,categoria_estabelecimento
5a9f02b5ae90ac001f7e9bb3,59fe3fec685f121d20ccd4cf,2018-03-14,4.80,GELADOS
5ab3869db8038e001f5ed8b4,59fe3fec685f121d20ccd4cf,2018-04-01,4.50,REFEICAO
5b5085b7b61c69001f938d79,59fe3fec685f121d20ccd4cf,2018-07-19,4.80,GELADOS
5b730bcc0719f2001fbac6f8,5b5881d05c6347001ff0d192,2018-08-14,4.50,REFEICAO
5b7467f0ae99ff001f64aaf6,59fe4116685f121d20ccd4d0,2018-08-15,4.80,LANCHES
5b76d3b483bc81001f7d9ba2,5b5881d05c6347001ff0d192,2018-08-17,4.90,MEDICAMENTOS
5baa93f387232300205d73d7,5b5881d05c6347001ff0d192,2018-09-25,4.70,LANCHES
5bd86a8b4e9df20020176499,59fe3fec685f121d20ccd4cf,2018-10-30,4.80,GELADOS
5be5c0973f3b0000335e8b99,5bcfd5f3694da20020938fed,2018-11-09,4.70,REFEICAO
5bf3f642652212003372ee1b,59fe3fec685f121d20ccd4cf,2018-11-20,4.90,SUPERMERCADO
5bf843c4740c9a003322b942,5b5881d05c6347001ff0d192,2018-11-23,4.70,LANCHES
5bfef67682a4b300158eb8bf,5b5881d05c6347001ff0d192,2018-11-28,4.80,REFEICAO
5c12b287674dac001571e9c9,5bbe954c156be70020f7821c,2018-12-13,4.80,PIZZA
5c5839244d0000002390a483,5c45fe28fa0e4c0015f3ebf7,2019-02-04,4.60,REFEICAO
5c5ae61d7e659b002d51fedd,5bf8b2a1740c9a003324e1a3,2019-02-06,4.60,GELADOS
5c637bcb97c2590020371665,5b5881d05c6347001ff0d192,2019-02-13,4.80,COMIDA_ORIENTAL
5ca75ddce9b2b300211ba3c2,5c4748e23249dc00155d06bb,2019-04-05,4.80,PIZZA
5caf2a6b7ca498001bb62943,5ca79a58c36ec6001bf5974c,2019-04-11,4.60,LANCHES
5cb374e49e20d300570daf3b,5caa8e72aff3f9002c284278,2019-04-14,4.80,REFEICAO
5cb779b3693d6e00697d1c50,5cab432166f7e5001b335eaf,2019-04-17,4.90,LANCHES
5cc06fea252af5001b52b95e,5cbf908c07875a00885ccd1d,2019-04-24,4.80,LANCHES
5cebcfeaa628fd003348a113,5b5881d05c6347001ff0d192,2019-05-27,4.70,REFEICAO
5ced1ec0d15c0f0052e35fd6,59fe3fec685f121d20ccd4cf,2019-05-28,4.70,REFEICAO
5d16422b97b29c0034164b57,5d08086414a9510189d3d0c2,2019-06-28,4.90,REFEICAO
5d278f98f058e900a3427d8d,5d23cd9de99b6f00762c8991,2019-07-11,4.40,LANCHES
5dcdec3f7ebd1c0082696cea,5b5881d05c6347001ff0d192,2019-11-15,4.80,LANCHES
5deff0fae61059002c52053d,5b5881d05c6347001ff0d192,2019-12-10,4.80,REFEICAO
5e42ba3229ce3b0076cc0add,5b5881d05c6347001ff0d192,2020-02-11,4.70,REFEICAO
5e60eaea972f49009da8dabe,59fe3fec685f121d20ccd4cf,2020-03-05,4.70,GELADOS
5e76039c5c3734001b7741c8,5b5881d05c6347001ff0d192,2020-03-21,4.50,REFEICAO
5e7929a90428d7003ff9fbaa,5bf8b2a1740c9a003324e1a3,2020-03-23,4.80,GELADOS
5e8255225abcb80041be0130,5c0548f594879f0014ff5825,2020-03-30,4.80,REFEICAO
5e9dda334fdae200a61bff06,5cbe2d22ba3566005095306b,2020-04-20,4.70,GELADOS
5eb2a17610ed5f00b7c47e7e,5c0548f594879f0014ff5825,2020-05-06,4.70,REFEICAO
5ebc2950e00f900039465f88,59fe3fec685f121d20ccd4cf,2020-05-13,4.80,LANCHES
5ed2494d2fc1fe00816cfd02,59fe3fec685f121d20ccd4cf,2020-05-30,4.60,LANCHES
5eeaa5bba415d8004432c20c,59fe3fec685f121d20ccd4cf,2020-06-17,4.90,MEDICAMENTOS
5ef4d1cf772a070020feb726,5b5881d05c6347001ff0d192,2020-06-25,4.90,LANCHES
5f3d3d21a68ea80081d893a7,5b5881d05c6347001ff0d192,2020-08-19,4.80,REFEICAO
5f5bc1da40c86500b59af163,5c86653909739b00211192be,2020-09-11,4.80,SUPERMERCADO
6023e7aa1744fd00822212b4,59fe3fec685f121d20ccd4cf,2021-02-10,4.90,SOBREMESAS
605e1e14b814050032cdde1d,59fe3fec685f121d20ccd4cf,2021-03-26,4.60,REFEICAO
609025ddcab07b00a4286750,5cd2e39e5645bc0020607127,2021-05-03,4.90,GELADOS
609ac45c700a2100c3ba9e4a,5c0548f594879f0014ff5825,2021-05-11,4.50,REFEICAO
60afd79cc5be300061595361,5bbe954c156be70020f7821c,2021-05-27,4.70,SUPERMERCADO
6177fe9e001509001cb51c08,5b5881d05c6347001ff0d192,2021-10-26,4.90,MEDICAMENTOS
623214cac80d5c002aff426d,5ca79a58c36ec6001bf5974c,2022-03-16,4.80,REFEICAO
6297c98a45f12a005e9bc1fe,5c86653909739b00211192be,2022-06-01,5.00,GELADOS
62c4739dd95bb8002360611a,59fe4116685f121d20ccd4d0,2022-07-05,4.80,REFEICAO
64a85e9e3b64490046088241,59fe3fec685f121d20ccd4cf,2023-07-07,4.60,ACAI
