municipio_id,cidade,uf
59fe3fec685f121d20ccd4cf,Município 01,AA
59fe4116685f121d20ccd4d0,Município 02,AA
5b5881d05c6347001ff0d192,Município 03,AA
5bbe954c156be70020f7821c,Município 04,BB
5bcfd5f3694da20020938fed,Município 05,BB
5bf8b2a1740c9a003324e1a3,Município 06,BB
5c0548f594879f0014ff5825,Município 07,CC
5c45fe28fa0e4c0015f3ebf7,Município 08,DD
5c4748e23249dc00155d06bb,Município 09,DD
5c86653909739b00211192be,Município 10,BB
5ca79a58c36ec6001bf5974c,Município 11,CC
5caa8e72aff3f9002c284278,Município 12,DD
5cab432166f7e5001b335eaf,Município 13,EE
5cbe2d22ba3566005095306b,Município 14,BB
5cbf908c07875a00885ccd1d,Município 15,DD
5cd2e39e5645bc0020607127,Município 16,CC
5d08086414a9510189d3d0c2,Município 17,EE
5d23cd9de99b6f00762c8991,Município 18,DD
